Name,AlphaAcid,PossibleSubstitutions,FlavorDescription, 
Azacca  (U.S.),14-16,,"A dual-use, high-alpha hop. Aroma and flavor characteristics of apricot, ripe mango, orchard fruit, orange, grapefruit, pine, and pineapple.", 
Belma (U.S.),12.1,,"Clean bitterness, citrus, tropical fruit flavors.",
Boadicea (U.K.),8-9,,spicy,
Cascade (New Zealand),6-8,"Ahtanum, Cascade, Centennial","Similar to US Cascade, has floral, citrus grapefruit character.",
Cashmere (U.S.),7.7-9.1,,"This dual purpose variety is an offspring of Cascade and Northern Brewer. Cashmere has aroma and flavor characteristics of melon, lemon, lime, herbs, and citrus fruits.",
Centennial,8-11.5,"Cascade, possibly Columbus",Medium with floral and citrus tones.,
Chinook,10-14,"Columbus, Northern Brewer, Nugget, U.K. Target","Mild to medium-heavy, spicy, piney, and grapefruity.",
Cluster,5.5-8.5,Galena,Medium and quite spicy.,
Columbus,11-16,"Chinook, Northern Brewer, Nugget, U.K. Target","Pleasant, with pungent aroma.",
Comet (U.S.),9-11,,"Grapefruit, lemon, orange, and grassy notes.",
El Dorado (U.S.),14-16,,"Dual purpose hop with fruity, tropical flavors.",
Eroica (German),9-12,"Chinook, Galena, Nugget",Strong but pleasant aroma.,
Green Bullet (New Zealand),11-14,"Crystal, Hallertauer Tradition, Liberty, Mt. Hood, Ultra",Dual purpose hop.,
Hallertau Aroma (New Zealand),6.5-8.5,Perle,A dual purpose hop which has been used to replace Perle,
Hallertauer (U.S.),3.5-5.5,"Hallertauer Tradition, Liberty, Ultra","Very mild, pleasant, and slightly flowery, some spicy.",
Hallertauer Gold (German),6-6.5,"Crystal, Mt. Hood",Known for its aromatic properties similar to Hallertauer.,
Hallertauer Mittelfrüh (German),3-5.5,"German Tradition, Liberty, Ultra",Mild and pleasant.,
Hallertauer Tradition (German),3.5-5.5,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.,
Hersbrucker (German),3-5.5,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy.",
Horizon,11-14,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer.",
Lemondrop (U.S.),5-7,Amarillo,"This aroma hop originated from a cross between Cascade and USDA 19058 male. It features (of course) lemony, floral, earthy, herbal, grassy, citrus, pepper, and pine notes.",
Liberty,3-6,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character.",
Magnum (German),12-16,"Northdown, Northern Brewer",Known for bittering value and quality.,
Magnum (U.S.),10-14,"Northdown, Northern Brewer",High alpha variety,
Mt. Hood,3-8,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny.",
Northern Brewer (German),7-10,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.,
Northern Brewer (U.S.),6-10,"Chinook, Nugget",Medium-strong with some wild tones.,
Northwest Golding,4-5,,Known for aromatic properties.,
Nugget,11-14.5,"Chinook, Columbus, Galena, U.K. Target",Quite heavy and herbal.,
Olympic,11-13,Chinook,"Mild to medium, citrusy aroma, spicy.",
Opal (German),5-8,Styrian Golding,German dual-purpose hop,
Pacific Jade (New Zealand),12-14,,"A ""soft"" bittering hop with spicy and citrus aroma qualities.",
Pacifica (New Zealand),5-6,Hallertau family,An aroma hop with some citrus and floral character,
